Vertices,Edges,StartTime,EndTime
1,-1,359893674,359893674
1,-1,359893674,359893674
1,-1,359893674,359893674
1,-1,359893674,359893674
1,-1,359893675,359893675
11,-1,359893675,359893675
11,-1,359893675,359893675
11,-1,359893676,359893676
11,-1,359893676,359893676
11,-1,359893676,359893676
21,-1,359893676,359893676
21,-1,359893677,359893677
21,-1,359893677,359893677
21,-1,359893677,359893677
21,-1,359893677,359893678
31,-1,359893678,359893678
31,-1,359893678,359893678
31,-1,359893678,359893678
31,-1,359893679,359893679
31,-1,359893679,359893679
41,-1,359893679,359893679
41,-1,359893680,359893680
41,-1,359893680,359893680
41,-1,359893680,359893680
41,-1,359893681,359893681
51,-1,359893681,359893681
51,-1,359893681,359893681
51,-1,359893682,359893682
51,-1,359893682,359893682
51,-1,359893682,359893683
61,-1,359893683,359893683
61,-1,359893683,359893683
61,-1,359893684,359893684
61,-1,359893684,359893684
61,-1,359893685,359893685
71,-1,359893685,359893685
71,-1,359893686,359893686
71,-1,359893686,359893687
71,-1,359893687,359893687
71,-1,359893687,359893688
81,-1,359893688,359893688
81,-1,359893689,359893689
81,-1,359893689,359893690
81,-1,359893690,359893690
81,-1,359893691,359893691
91,-1,359893691,359893692
91,-1,359893692,359893692
91,-1,359893693,359893693
91,-1,359893694,359893694
91,-1,359893694,359893695
101,-1,359893695,359893696
101,-1,359893696,359893697
101,-1,359893697,359893698
101,-1,359893698,359893698
101,-1,359893699,359893699
111,-1,359893700,359893700
111,-1,359893701,359893702
111,-1,359893702,359893703
111,-1,359893703,359893704
111,-1,359893704,359893705
121,-1,359893705,359893706
121,-1,359893706,359893707
121,-1,359893708,359893709
121,-1,359893709,359893710
121,-1,359893710,359893711
131,-1,359893712,359893712
131,-1,359893713,359893714
131,-1,359893714,359893715
131,-1,359893716,359893717
131,-1,359893717,359893718
141,-1,359893719,359893720
141,-1,359893721,359893722
141,-1,359893723,359893724
141,-1,359893724,359893725
141,-1,359893726,359893727
151,-1,359893728,359893729
151,-1,359893730,359893731
151,-1,359893732,359893733
151,-1,359893734,359893735
151,-1,359893736,359893737
161,-1,359893738,359893740
161,-1,359893741,359893742
161,-1,359893743,359893745
161,-1,359893745,359893747
161,-1,359893748,359893749
171,-1,359893751,359893752
171,-1,359893753,359893756
171,-1,359893756,359893758
171,-1,359893759,359893761
171,-1,359893762,359893764
181,-1,359893765,359893767
181,-1,359893768,359893770
181,-1,359893771,359893774
181,-1,359893775,359893777
181,-1,359893778,359893780
191,-1,359893781,359893784
191,-1,359893785,359893788
191,-1,359893789,359893792
191,-1,359893793,359893795
191,-1,359893796,359893799
201,-1,359893800,359893803
201,-1,359893804,359893807
201,-1,359893808,359893811
201,-1,359893812,359893815
201,-1,359893817,359893820
211,-1,359893821,359893825
211,-1,359893826,359893830
211,-1,359893831,359893834
211,-1,359893836,359893839
211,-1,359893840,359893844
221,-1,359893845,359893850
221,-1,359893851,359893855
221,-1,359893857,359893861
221,-1,359893862,359893866
221,-1,359893868,359893872
231,-1,359893873,359893877
231,-1,359893879,359893883
231,-1,359893885,359893889
231,-1,359893891,359893895
231,-1,359893896,359893901
241,-1,359893903,359893908
241,-1,359893909,359893914
241,-1,359893916,359893921
241,-1,359893923,359893928
241,-1,359893929,359893934
251,-1,359893936,359893942
251,-1,359893943,359893949
251,-1,359893951,359893956
251,-1,359893958,359893964
251,-1,359893965,359893971
261,-1,359893973,359893979
261,-1,359893981,359893988
261,-1,359893989,359893996
261,-1,359893997,359894004
261,-1,359894006,359894012
271,-1,359894014,359894021
271,-1,359894023,359894031
271,-1,359894032,359894040
271,-1,359894041,359894049
271,-1,359894051,359894058
281,-1,359894060,359894068
281,-1,359894071,359894079
281,-1,359894081,359894089
281,-1,359894091,359894099
281,-1,359894101,359894109
291,-1,359894112,359894121
291,-1,359894123,359894132
291,-1,359894134,359894143
291,-1,359894145,359894154
291,-1,359894156,359894165
301,-1,359894168,359894178
301,-1,359894180,359894190
301,-1,359894192,359894202
301,-1,359894204,359894214
301,-1,359894216,359894226
311,-1,359894229,359894239
311,-1,359894242,359894253
311,-1,359894256,359894267
311,-1,359894270,359894281
311,-1,359894283,359894294
321,-1,359894297,359894309
321,-1,359894312,359894324
321,-1,359894327,359894340
321,-1,359894342,359894354
321,-1,359894357,359894369
331,-1,359894372,359894385
331,-1,359894388,359894401
331,-1,359894404,359894416
331,-1,359894419,359894432
331,-1,359894434,359894447
341,-1,359894450,359894464
341,-1,359894467,359894481
341,-1,359894484,359894498
341,-1,359894501,359894515
341,-1,359894518,359894532
351,-1,359894535,359894551
351,-1,359894553,359894569
351,-1,359894572,359894587
351,-1,359894590,359894605
351,-1,359894609,359894624
361,-1,359894628,359894644
361,-1,359894648,359894664
361,-1,359894668,359894684
361,-1,359894688,359894704
361,-1,359894707,359894724
371,-1,359894728,359894745
371,-1,359894749,359894768
371,-1,359894772,359894791
371,-1,359894795,359894813
371,-1,359894817,359894835
381,-1,359894839,359894859
381,-1,359894863,359894882
381,-1,359894886,359894906
381,-1,359894910,359894930
381,-1,359894934,359894954
391,-1,359894958,359894980
391,-1,359894984,359895005
391,-1,359895009,359895031
391,-1,359895035,359895056
391,-1,359895060,359895081
401,-1,359895086,359895109
401,-1,359895113,359895136
401,-1,359895141,359895163
401,-1,359895168,359895190
401,-1,359895194,359895217
411,-1,359895221,359895246
411,-1,359895250,359895274
411,-1,359895279,359895303
411,-1,359895307,359895332
411,-1,359895336,359895361
421,-1,359895366,359895392
421,-1,359895396,359895422
421,-1,359895427,359895452
421,-1,359895457,359895483
421,-1,359895487,359895513
431,-1,359895518,359895546
431,-1,359895551,359895578
431,-1,359895583,359895611
431,-1,359895616,359895643
431,-1,359895648,359895676
441,-1,359895681,359895710
441,-1,359895715,359895745
441,-1,359895749,359895779
441,-1,359895783,359895813
441,-1,359895818,359895847
451,-1,359895853,359895885
451,-1,359895890,359895922
451,-1,359895927,359895959
451,-1,359895964,359895995
451,-1,359896001,359896032
461,-1,359896038,359896072
461,-1,359896077,359896111
461,-1,359896117,359896151
461,-1,359896156,359896189
461,-1,359896195,359896229
471,-1,359896235,359896271
471,-1,359896276,359896313
471,-1,359896319,359896355
471,-1,359896362,359896397
471,-1,359896403,359896439
481,-1,359896445,359896483
481,-1,359896488,359896528
481,-1,359896534,359896572
481,-1,359896578,359896616
481,-1,359896622,359896660
491,-1,359896668,359896708
491,-1,359896714,359896754
491,-1,359896760,359896800
491,-1,359896806,359896847
491,-1,359896852,359896893
501,-1,359896900,359896943
501,-1,359896949,359896992
501,-1,359896999,359897042
501,-1,359897048,359897091
501,-1,359897098,359897142
511,-1,359897149,359897194
511,-1,359897201,359897247
511,-1,359897253,359897298
511,-1,359897305,359897351
511,-1,359897358,359897404
521,-1,359897412,359897460
521,-1,359897467,359897516
521,-1,359897524,359897572
521,-1,359897579,359897627
521,-1,359897635,359897683
531,-1,359897691,359897742
531,-1,359897749,359897800
531,-1,359897808,359897859
531,-1,359897866,359897917
531,-1,359897924,359897975
541,-1,359897983,359898038
541,-1,359898045,359898100
541,-1,359898107,359898161
541,-1,359898169,359898224
541,-1,359898232,359898286
551,-1,359898294,359898352
551,-1,359898360,359898417
551,-1,359898425,359898482
551,-1,359898490,359898547
551,-1,359898555,359898612
561,-1,359898621,359898681
561,-1,359898690,359898750
561,-1,359898758,359898818
561,-1,359898827,359898888
561,-1,359898897,359898957
571,-1,359898966,359899030
571,-1,359899038,359899101
571,-1,359899110,359899173
571,-1,359899182,359899245
571,-1,359899253,359899316
581,-1,359899326,359899392
581,-1,359899401,359899468
581,-1,359899476,359899544
581,-1,359899553,359899619
581,-1,359899628,359899695
591,-1,359899705,359899775
591,-1,359899783,359899853
591,-1,359899862,359899932
591,-1,359899941,359900011
591,-1,359900020,359900091
601,-1,359900101,359900175
601,-1,359900185,359900258
601,-1,359900267,359900340
601,-1,359900350,359900424
601,-1,359900433,359900506
611,-1,359900517,359900594
611,-1,359900604,359900681
611,-1,359900690,359900768
611,-1,359900777,359900855
611,-1,359900864,359900941
621,-1,359900950,359901031
621,-1,359901041,359901123
621,-1,359901133,359901214
621,-1,359901224,359901305
621,-1,359901316,359901396
631,-1,359901407,359901492
631,-1,359901503,359901588
631,-1,359901600,359901685
631,-1,359901695,359901780
631,-1,359901791,359901876
641,-1,359901887,359901976
641,-1,359901986,359902075
641,-1,359902085,359902175
641,-1,359902186,359902275
641,-1,359902286,359902375
651,-1,359902386,359902480
651,-1,359902491,359902585
651,-1,359902596,359902689
651,-1,359902700,359902793
651,-1,359902805,359902898
661,-1,359902910,359903008
661,-1,359903019,359903116
661,-1,359903128,359903225
661,-1,359903236,359903334
661,-1,359903345,359903442
671,-1,359903454,359903556
671,-1,359903567,359903670
671,-1,359903681,359903783
671,-1,359903795,359903898
671,-1,359903910,359904012
681,-1,359904025,359904132
681,-1,359904144,359904250
681,-1,359904262,359904369
681,-1,359904381,359904487
681,-1,359904499,359904606
691,-1,359904620,359904731
691,-1,359904743,359904855
691,-1,359904867,359904979
691,-1,359904991,359905102
691,-1,359905115,359905226
701,-1,359905240,359905356
701,-1,359905368,359905484
701,-1,359905497,359905614
701,-1,359905628,359905744
701,-1,359905757,359905873
711,-1,359905887,359906008
711,-1,359906021,359906143
711,-1,359906157,359906278
711,-1,359906291,359906412
711,-1,359906425,359906547
721,-1,359906562,359906690
721,-1,359906703,359906829
721,-1,359906843,359906969
721,-1,359906982,359907110
721,-1,359907124,359907250
731,-1,359907264,359907396
731,-1,359907410,359907541
731,-1,359907557,359907690
731,-1,359907703,359907835
731,-1,359907849,359907982
741,-1,359907997,359908135
741,-1,359908149,359908285
741,-1,359908300,359908437
741,-1,359908450,359908588
741,-1,359908603,359908740
751,-1,359908756,359908899
751,-1,359908914,359909056
751,-1,359909070,359909213
751,-1,359909229,359909371
751,-1,359909387,359909529
761,-1,359909545,359909694
761,-1,359909709,359909858
761,-1,359909873,359910023
761,-1,359910038,359910186
761,-1,359910201,359910349
771,-1,359910366,359910520
771,-1,359910535,359910690
771,-1,359910705,359910859
771,-1,359910875,359911029
771,-1,359911045,359911200
781,-1,359911217,359911378
781,-1,359911395,359911555
781,-1,359911571,359911731
781,-1,359911747,359911907
781,-1,359911923,359912084
791,-1,359912101,359912268
791,-1,359912284,359912450
791,-1,359912466,359912633
791,-1,359912649,359912816
791,-1,359912832,359912998
801,-1,359913015,359913188
801,-1,359913205,359913377
801,-1,359913394,359913566
801,-1,359913583,359913757
801,-1,359913773,359913948
811,-1,359913965,359914144
811,-1,359914161,359914339
811,-1,359914356,359914535
811,-1,359914552,359914732
811,-1,359914750,359914928
821,-1,359914947,359915133
821,-1,359915151,359915335
821,-1,359915353,359915539
821,-1,359915556,359915743
821,-1,359915760,359915945
831,-1,359915964,359916157
831,-1,359916175,359916368
831,-1,359916386,359916578
831,-1,359916596,359916789
831,-1,359916807,359917001
841,-1,359917020,359917220
841,-1,359917239,359917437
841,-1,359917457,359917657
841,-1,359917675,359917874
841,-1,359917893,359918094
851,-1,359918114,359918322
851,-1,359918341,359918549
851,-1,359918568,359918777
851,-1,359918796,359919003
851,-1,359919022,359919229
861,-1,359919250,359919464
861,-1,359919484,359919698
861,-1,359919718,359919933
861,-1,359919952,359920166
861,-1,359920186,359920399
871,-1,359920420,359920642
871,-1,359920661,359920882
871,-1,359920902,359921124
871,-1,359921144,359921366
871,-1,359921385,359921607
881,-1,359921629,359921858
881,-1,359921879,359922108
881,-1,359922129,359922358
881,-1,359922379,359922608
881,-1,359922628,359922857
891,-1,359922878,359923115
891,-1,359923135,359923372
891,-1,359923392,359923630
891,-1,359923652,359923890
891,-1,359923911,359924149
901,-1,359924172,359924416
901,-1,359924437,359924683
901,-1,359924705,359924950
901,-1,359924972,359925217
901,-1,359925239,359925484
911,-1,359925508,359925762
911,-1,359925784,359926037
911,-1,359926060,359926313
911,-1,359926335,359926588
911,-1,359926610,359926864
921,-1,359926888,359927151
921,-1,359927173,359927434
921,-1,359927457,359927720
921,-1,359927742,359928003
921,-1,359928027,359928289
931,-1,359928314,359928584
931,-1,359928607,359928879
931,-1,359928902,359929173
931,-1,359929196,359929466
931,-1,359929488,359929760
941,-1,359929785,359930064
941,-1,359930086,359930364
941,-1,359930387,359930665
941,-1,359930689,359930967
941,-1,359930990,359931270
951,-1,359931296,359931583
951,-1,359931607,359931895
951,-1,359931920,359932207
951,-1,359932230,359932517
951,-1,359932540,359932828
961,-1,359932853,359933149
961,-1,359933174,359933469
961,-1,359933494,359933791
961,-1,359933816,359934113
961,-1,359934137,359934435
971,-1,359934460,359934767
971,-1,359934791,359935098
971,-1,359935124,359935430
971,-1,359935455,359935761
971,-1,359935787,359936092
981,-1,359936120,359936436
981,-1,359936461,359936777
981,-1,359936802,359937118
981,-1,359937145,359937460
981,-1,359937485,359937800
991,-1,359937826,359938151
991,-1,359938177,359938501
991,-1,359938527,359938853
991,-1,359938879,359939205
991,-1,359939231,359939556
1001,-1,359939582,359939918
1001,-1,359939945,359940281
1001,-1,359940307,359940642
1001,-1,359940668,359941002
1001,-1,359941028,359941361
